ds,yhat,yhat_lower,yhat_upper
2015-01-02,32.56329126628197,20.441825649581208,43.66432091055372
2015-01-05,31.888573789853044,20.174704042072808,43.00637788893543
2015-01-06,31.55077094470326,20.12994363682988,43.539869526814726
2015-01-07,31.216608886462218,20.677543345242132,43.21186651348289
2015-01-08,30.944555460015586,19.287888886758275,42.29453156788732
2015-01-09,30.761015888628673,19.10736819738312,42.01465775968124
2015-01-12,30.284827561140155,19.209726890458732,42.67725301653447
2015-01-13,30.04041274935325,18.059099453859393,41.538873964164296
2015-01-14,29.812277610731567,17.657728493135128,41.77482781244788
2015-01-15,29.6580748160942,18.149425666301045,42.1628164608082
2015-01-16,29.603231833135503,17.99067526277285,41.40320458935586
2015-01-20,29.48058939525344,18.891976705001966,41.42726934761487
2015-01-21,29.415029151590517,17.819893886491368,40.10738375510695
2015-01-22,29.425040787028074,18.859824572818106,41.43836541248208
2015-01-23,29.53403606594325,17.106062742382395,40.45885745683861
2015-01-26,29.96460258160633,18.497082643556702,41.93351530204889
2015-01-27,30.019892203713386,17.886429031313327,41.34423646593861
2015-01-28,30.08366664795976,18.8389069639822,43.152845878972705
2015-01-29,30.20952837668378,18.228076359671572,41.731415128964755
2015-01-30,30.418837851303294,18.570951771257025,41.93043484924278
2015-02-02,31.038927283366842,19.421798925746536,42.38327828686406
2015-02-03,31.115225463708086,20.05375928657492,42.31677370654991
2015-02-04,31.177062830237354,19.847493796680336,42.172136122799046
2015-02-05,31.2773838937391,20.16261776687525,42.52807573956635
2015-02-06,31.437236544681166,20.39738964991556,42.09808804001119
2015-02-09,31.76790831635694,19.666526419143974,42.51591354265113
2015-02-10,31.703463490649327,20.54491322722829,43.148800683582905
2015-02-11,31.60476060507736,19.997970432945532,42.553174118708384
2015-02-12,31.526704944903884,20.36395959615337,42.66730965646674
2015-02-13,31.49264809676061,19.70319256359093,42.8957411019222
2015-02-17,30.88402888134726,19.522490775716722,42.22765739651439
2015-02-18,30.557719228487848,18.633837355059903,42.45804393015445
2015-02-19,30.25530963246734,19.77424325790262,42.15394039003251
2015-02-20,30.003611654936492,18.586857156251053,42.017237421200186
2015-02-23,29.107310743111398,17.734932376240412,40.87415624700199
2015-02-24,28.656868287235078,16.62778798047998,40.27338979389799
2015-02-25,28.193604690195727,16.957034139274505,40.00354443904062
2015-02-26,27.777986053762618,16.208986024271503,38.97577211237651
2015-02-27,27.438502571157233,15.766620639422053,38.15351868452124
2015-03-02,26.441242852435913,14.595308139697336,38.198664916315956
2015-03-03,26.012112316862467,13.81551720423617,37.21541929311274
2015-03-04,25.596808908392546,13.799215700965746,36.99306235213564
2015-03-05,25.254563695854735,13.898603058177715,36.32988802998863
2015-03-06,25.012172463075803,12.679266555591056,36.23120380316678
2015-03-09,24.425473571498642,13.255847113228848,36.01327124673648
2015-03-10,24.163604466487573,12.310058810073214,36.034183707150135
2015-03-11,23.925461083426132,12.781883465771717,36.1971218352935
2015-03-12,23.76685612091223,11.822371221173327,36.15284564470121
2015-03-13,23.711111755662678,11.973165997539876,35.406948982122955
2015-03-16,23.668389012662207,12.705015013206848,35.02692809812511
2015-03-17,23.57193762604407,11.33739120137508,34.8880391959098
2015-03-18,23.486573590097233,12.499237157948714,34.92126522290504
2015-03-19,23.465788045772094,12.07560525965598,35.233545524507186
2015-03-20,23.53097598443434,11.911795330064837,35.390080745395714
2015-03-23,23.73706226685238,11.925166024543099,34.84567649018121
2015-03-24,23.683661855624276,12.996056030680414,34.903313820755294
2015-03-25,23.621640190553116,11.390277948907613,35.133674676318876
2015-03-26,23.605312111268994,12.204412904858444,35.55171387839089
2015-03-27,23.657315508684412,12.003345276044122,35.6812980954766
2015-03-30,23.735828214475085,11.896531270506738,35.39004160198289
2015-03-31,23.617938631458852,12.069899153847322,35.09367071348055
2015-04-01,23.484634956385538,11.592301061211666,35.08734512912045
2015-04-02,23.39290684070052,12.023790414511703,34.56128754335965
2015-04-06,23.233078599655464,10.783654066097755,35.24337081322782
2015-04-07,23.057343360968275,11.990238951432996,34.78537950524105
2015-04-08,22.876059950577265,10.616555330616212,34.55539951820631
2015-04-09,22.747666917995833,10.636791941495867,34.06687329670936
2015-04-10,22.698572925917077,10.666187769406086,34.92554274680052
2015-04-13,22.57021844524331,10.980206264582225,34.384610761190245
2015-04-14,22.422892394939243,10.974966108145791,34.01051816998195
2015-04-15,22.282028128574325,10.545710869667824,34.4776274673647
2015-04-16,22.20489518408564,11.178523222065984,34.05543347564938
2015-04-17,22.216439096784246,10.151858483858057,33.523103206845875
