Date,Close,High,Low,Open,Volume,LSTM_Prediction
2023-07-27,191.08775329589844,195.0238284273441,190.4251487828704,193.85685736898512,47460200.0,191.31685
2023-07-28,193.66896057128903,194.4601353557404,191.99760780036655,192.5217578883548,48291400.0,191.35458
2023-07-31,194.2821044921875,194.3216715292241,193.10523413200036,193.89640887829788,38824100.0,191.95888
2023-08-01,193.45135498046875,194.55899044039091,193.12499487022708,194.07440747187567,35175100.0,192.78465
2023-08-02,190.45480346679688,193.026102358892,189.73286353794575,192.88764791924385,50389300.0,193.26785
2023-08-03,189.0603790283203,190.2471336448423,188.58568019979225,189.45597396076343,61235200.0,192.7039
2023-08-04,179.981689453125,185.31220853119976,179.91245468139763,183.47273360328956,115956800.0,191.50961
2023-08-07,176.87631225585938,181.10907923772604,175.3928654606145,180.12011470756278,97576100.0,187.98476
2023-08-08,177.8158416748047,178.2806562533865,175.6203390114105,177.7070549630004,67823000.0,183.65114
2023-08-09,176.22360229492188,178.93335560733482,175.05661623443876,178.87402014653773,60378500.0,180.3354
2023-08-10,176.00604248046875,178.75536303948698,175.64013038367378,177.4993736907431,54686900.0,177.84744
2023-08-11,176.0654296875,176.88738049769475,174.8374673630278,175.60000259117115,52036700.0,176.28593
2023-08-14,177.71925354003906,177.94701832041608,175.5900993670502,176.2437010263368,43675600.0,175.52898
2023-08-15,175.72874450683594,177.73905244130324,175.3326305229056,177.1448814654077,43622600.0,175.7416
2023-08-16,174.85728454589844,176.80816171418965,174.78795629022963,175.4118501481314,46964900.0,175.78781
2023-08-17,172.3122100830078,175.7881578465257,171.79724982185638,175.42175166053434,66062900.0,175.55304
2023-08-18,172.79745483398438,173.40153844678508,170.29199700813362,170.62869538621166,61172200.0,174.61241
2023-08-21,174.13436889648438,174.42156439236868,172.05474771785234,173.37184868637627,46311900.0,173.76202
2023-08-22,175.51087951660156,175.95651153189084,174.54038966607246,175.34253031574917,42038900.0,173.5058
2023-08-23,179.36314392089844,179.78898080878903,176.60021337314086,176.78837280424742,52722800.0,173.90833
2023-08-24,174.66912841796875,179.3433458832632,174.30270712253693,178.91750900229638,54945800.0,175.47972
2023-08-25,176.87750244140625,177.41225784961358,174.1145717959043,175.6594375427037,51449600.0,175.88919
2023-08-28,178.44216918945312,178.83828316683332,176.8180777049469,178.34313313971825,43820700.0,176.32472
2023-08-29,182.3340606689453,183.10649358507428,177.75887876406125,177.95693577395411,53003900.0,177.05275
2023-08-30,185.8297882080078,186.0278602958339,182.9480267037944,183.1460836808417,60813900.0,178.72234
2023-08-31,186.0476837158203,187.2855588991337,185.66146726305777,186.01797592028328,60794500.0,181.24794
2023-09-01,187.6222686767578,188.07779827305947,186.4537066694999,187.65197647170007,45766500.0,183.51892
2023-09-05,187.85992431640625,188.1372071331358,185.7902007519677,186.453699999912,45280000.0,185.52022
2023-09-06,181.1357879638672,187.01817274977,179.70975345688714,186.57252563325392,81755800.0,186.94879
2023-09-07,175.8376922607422,176.48139642487362,171.85668142571674,173.48077306769622,112488800.0,186.00131
2023-09-08,176.45166015625,178.4916910043361,176.06544373133067,176.62002446653017,65551300.0,182.97375
2023-09-11,177.62022399902344,178.5511084974291,175.619813594627,178.3233437087065,58953100.0,180.03958
2023-09-12,174.5899200439453,178.3827714442694,173.12428004812202,177.7489799506068,90370200.0,178.1664
2023-09-13,172.5201873779297,175.58021106580875,172.29240747476095,174.7978655233742,84267900.0,176.39809
2023-09-14,174.03536987304688,174.39187856440168,171.89631772491796,172.31224201303482,60895800.0,174.60265
2023-09-15,173.31239318847656,174.78794559113751,172.1339489112559,174.76813536061914,109259500.0,173.6617
2023-09-18,176.24371337890625,177.64004017321716,174.46117014263496,174.76816076178545,67257600.0,173.12259
2023-09-19,177.33303833007812,177.88760394386657,175.4118538031827,175.7980702206982,51826900.0,173.66516
2023-09-20,173.7877655029297,177.95692035427507,173.69862701203755,177.52118590379774,58436200.0,174.79744
2023-09-21,172.24290466308594,174.5899263869401,172.1735915074449,172.8569010557525,63149100.0,174.96815
2023-09-22,173.0945587158203,175.36235454947433,172.36174626663464,172.97572753179696,56725400.0,174.32765
2023-09-25,174.37203979492188,175.2534062611611,172.46075278406465,172.51027081019092,46172700.0,173.7462
2023-09-26,170.29197692871094,173.50053892393993,169.9948839374697,173.12423523842645,64588900.0,173.65932
2023-09-27,168.7768096923828,171.3614931122097,167.4102060653185,170.94556895520947,66921800.0,172.72604
2023-09-28,169.03431701660156,170.36131544966938,165.99408862675534,167.69740591218968,56294400.0,171.3084
2023-09-29,169.5492706298828,171.39122924497295,168.68769934956754,170.3514112168,51861100.0,170.11882
2023-10-02,172.0646514892578,172.60931959526494,169.2719978061565,169.55919331240622,52164500.0,169.45049
