Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.261045455932617,24.729268449277928,23.821669706907244,24.71817244368647,212818400
2015-01-05,23.577579498291016,24.110155750266824,23.391178741256763,24.03026922781979,257142000
2015-01-06,23.579795837402344,23.839426153600677,23.21808699514755,23.641929414645055,263188400
2015-01-07,23.91044044494629,24.0102977556781,23.677437795887663,23.788391115817806,160423600
2015-01-08,24.82913589477539,24.886832100053905,24.12125311209241,24.23886506327916,237458000
2015-01-09,24.855756759643555,25.13092044767605,24.456324234263423,25.00221422360769,214798000
2015-01-12,24.24329376220703,24.99333738994218,24.14343647883557,24.98668046345246,198603200
2015-01-13,24.458547592163086,25.03106707024186,24.167850465710284,24.72705439552256,268367600
2015-01-14,24.365345001220703,24.51845940173482,24.076865748230265,24.196695513641078,195826400
2015-01-15,23.704059600830078,24.42303640937501,23.668555430204687,24.409722557017083,240056000
2015-01-16,23.519882202148438,23.872714608651194,23.34457576901996,23.750665290329735,314053200
2015-01-20,24.12568473815918,24.181161385664875,23.633051837426528,23.930405855410857,199599600
2015-01-21,24.30986785888672,24.644945594224467,24.025825998667738,24.176722549122562,194303600
2015-01-22,24.942298889160156,24.95783228139106,24.347589211871192,24.467418963229353,215185600
2015-01-23,25.071002960205078,25.24187026011724,24.749237444378423,24.920106437303215,185859200
2015-01-26,25.097633361816406,25.37723612111665,25.03106240494394,25.239653434759713,222460000
2015-01-27,24.21888542175293,24.96005432265318,24.194475561084744,24.946738775825928,382274800
2015-01-28,25.58804702758789,26.211605664482956,25.58804702758789,26.102870222038018,585908400
2015-01-29,26.384693145751953,26.44904625819923,25.64352427568064,25.81217375336961,337745600
2015-01-30,25.998573303222656,26.62878711906101,25.92978111858312,26.27373696274273,334982000
2015-02-02,26.324777603149414,26.44460736236611,25.758916826474497,26.196073070372567,250956400
2015-02-03,26.329214096069336,26.42685183275398,26.09843106688366,26.29592777294408,207662800
2015-02-04,26.531152725219727,26.74196501238614,26.25376947343209,26.295932269467976,280598800
2015-02-05,26.720516204833984,26.78512329175272,26.56679583596891,26.738337501467665,168984800
2015-02-06,26.495506286621094,26.789578935429713,26.38857000537499,26.73833824448596,174826400
2015-02-09,26.6715087890625,26.69824158884598,26.38411929352651,26.410853793004787,155559200
2015-02-10,27.183902740478516,27.212865534998993,26.7695291157995,26.77175571561299,248034000
2015-02-11,27.821063995361328,27.829975494842714,27.290842523929378,27.350993020810314,294247200
2015-02-12,28.173057556152344,28.400296519331267,27.974781388106848,28.08394427058599,297898000
2015-02-13,28.311185836791992,28.355741633824508,27.99260695889488,28.355741633824508,217088800
2015-02-17,28.478269577026367,28.712191735645902,28.275536812930167,28.402522690545037,252609600
2015-02-18,28.676549911499023,28.689916311182564,28.393615320435757,28.43371621918115,179566800
2015-02-19,28.61639404296875,28.745608222318186,28.58966124703063,28.623077241953283,149449600
2015-02-20,28.850317001342773,28.850317001342773,28.52728324375384,28.6542674273515,195793600
2015-02-23,29.63004493713379,29.63004493713379,28.88595289516716,28.96615465653643,283896400
2015-02-24,29.445140838623047,29.763721345675403,29.222358503399096,29.616684188574315,276912400
2015-02-25,28.692142486572266,29.318163857396602,28.549561893076035,29.309250658146496,298846800
2015-02-26,29.05527687072754,29.155528259362143,28.206476567891034,28.692140512533417,365150000
2015-02-27,28.618623733520508,29.088694653566876,28.569611341903233,28.96170707545237,248059200
2015-03-02,28.758970260620117,29.024081778114386,28.58297371505887,28.794616249393325,192386800
2015-03-03,28.819128036499023,28.8547740321923,28.536193469691177,28.730016446655085,151265200
2015-03-04,28.636445999145508,28.863684981508023,28.58743700235103,28.761206989043135,126665200
2015-03-05,28.16192054748535,28.683230483724483,28.017111665298497,28.645357888294036,226068400
2015-03-06,28.204246520996094,28.82135291218888,28.128501334221365,28.605253750386986,291368400
2015-03-09,28.324548721313477,28.865911616282308,27.861161011018062,28.507230185990295,354114000
2015-03-10,27.738632202148438,28.34237219558365,27.580456930040572,28.161919027348322,275426400
2015-03-11,27.232913970947266,27.796553044141444,27.20395287735549,27.7920981450098,275756000
2015-03-12,27.725263595581055,27.825516675855415,27.09701741803413,27.248509488491273,193450800
2015-03-13,27.533676147460938,27.936913449410874,27.308667146037337,27.71413104821891,207309200
2015-03-16,27.836654663085938,27.836654663085938,27.3732686550269,27.598277610489713,143497200
2015-03-17,28.302268981933594,28.364647765853334,27.992601661978895,28.04829724757786,204092400
2015-03-18,28.62084197998047,28.77456230887937,28.15299949601594,28.293351731297086,261083600
2015-03-19,28.404754638671875,28.794623819986978,28.38247673967853,28.68323262532552,183238000
2015-03-20,28.048295974731445,28.605250105751843,27.8834375247543,28.57183411566441,274780400
2015-03-23,28.340145111083984,28.482725692046003,28.18642473173338,28.320095513618043,150838800
2015-03-24,28.22429656982422,28.525050703803593,28.19533377641262,28.344599243232636,131369200
2015-03-25,27.486886978149414,28.253258840820795,27.486886978149414,28.190880051941875,206620800
2015-03-26,27.678482055664062,27.821062641035965,27.31311909318673,27.348765089377032,190291600
2015-03-27,27.457923889160156,27.7809576079784,27.382178708077856,27.751996515157707,158184800
2015-03-30,28.15300750732422,28.15969070618787,27.62501270106702,27.636152498969455,188398800
2015-03-31,27.72081184387207,28.17974300661866,27.70521714512907,28.09062971393237,168362400
2015-04-01,27.680709838867188,27.874531115222556,27.42450977003734,27.80769572346012,162485600
2015-04-02,27.919090270996094,27.972557571025973,27.667346771147866,27.854483171099858,128880400
2015-04-06,28.371328353881836,28.406974341238886,27.69852648961272,27.729715878703022,148776000
2015-04-07,28.07280921936035,28.542878494849756,28.066126019663994,28.435943900318566,140049200
2015-04-08,27.981460571289062,28.159687116843397,27.84110831395868,28.037156154313003,149316800
2015-04-09,28.195337295532227,28.19979389493384,27.77205213589063,28.037162010668165,129936000
2015-04-10,28.315641403198242,28.34014760205144,27.905722621826133,28.0594413149933,160752000
2015-04-13,28.259944915771484,28.643132585799844,28.20647761981867,28.59857338973223,145460400
2015-04-14,28.137413024902344,28.357967087559327,28.05052803962249,28.2933599985599,102098400
2015-04-15,28.24435043334961,28.322323927981227,28.072808745160057,28.16192203889392,115881600
2015-04-16,28.108448028564453,28.315635677165186,28.095081631781955,28.13295422246197,113476000
2015-04-17,27.792097091674805,28.101764410267815,27.727490008700773,27.970323644685543,207828000
2015-04-20,28.427026748657227,28.54287281964804,27.88566558485998,27.974778862380663,188217200
2015-04-21,28.273305892944336,28.5606935986116,28.219836910764798,28.538417405578187,129740400
2015-04-22,28.654260635375977,28.70995621484103,28.141862324114012,28.291126069153744,150618000
2015-04-23,28.888187408447266,29.05527417379222,28.54733067909467,28.582976671554942,183083600
2015-04-24,29.024085998535156,29.10206118539142,28.790163837355443,29.07087179052673,178103600
2015-04-27,29.55207633972168,29.659014311561645,29.217902826346513,29.476331159209945,387816800
2015-04-28,29.086454391479492,29.973126928030318,28.865902106410434,29.95530733681065,475696000
2015-04-29,28.658727645874023,29.31593504246109,28.58298244613496,28.997357843881694,253544400
2015-04-30,27.881210327148438,28.658720221632425,27.75422446071584,28.658720221632425,332781600
2015-05-01,28.727783203125,28.990668142439187,27.914628989612147,28.092853848868014,234050400
2015-05-04,28.672090530395508,29.088695876659358,28.57406574303931,28.850317107462306,203953200
2015-05-05,28.02602195739746,28.61639385984713,28.02156535830659,28.54955847104041,197085600
2015-05-06,27.850025177001953,28.23766603361999,27.482433918282176,28.195336838464158,288564000
2015-05-07,28.022287368774414,28.20573193766146,27.74488205442266,27.912666783531346,175763600
2015-05-08,28.550249099731445,28.550249099731445,28.212442045957022,28.33995836725281,222201600
2015-05-11,28.259416580200195,28.536820128929442,28.10505411598105,28.498789341360546,168143200
2015-05-12,28.158750534057617,28.384699391912346,27.92385124630615,28.098347079815507,192640000
2015-05-13,28.1900691986084,28.45405054686139,28.15874952227282,28.22138887494398,138776800
2015-05-14,28.847782135009766,28.847782135009766,28.447337485428147,28.503265718886325,180814000
2015-05-15,28.807518005371094,28.968591605131238,28.682239297466264,28.874632574202614,152832000
2015-05-18,29.125185012817383,29.243752584935958,28.715789967854153,28.720265181968493,203531600
2015-05-19,29.098342895507812,29.279549825447738,29.00214455904792,29.237043821913492,178532800
2015-05-20,29.096099853515625,29.30191531631098,28.935026288964824,29.082677625401065,145819600
2015-05-21,29.393640518188477,29.447332848055485,29.044648908023593,29.0983412378906,158921600
2015-05-22,29.650917053222656,29.747115410292487,29.39588439096639,29.44062971811842,182384000
2015-05-26,28.997665405273438,29.733682768025865,28.885808953731924,29.664332314244206,282790400
2015-05-27,29.539060592651367,29.588277721697445,29.09387394390166,29.158749206595562,183332800
2015-05-28,29.480886459350586,29.518917243713908,29.3287633218973,29.498783901448864,122933200
2015-05-29,29.145320892333984,29.40706461659608,29.060308884704277,29.357847497819773,203538000
2015-06-01,29.20348358154297,29.393640932277773,29.09386643353744,29.14531945022551,128451200
2015-06-02,29.07373809814453,29.230336489121086,28.930561938738983,29.051365436466924,134670400
2015-06-03,29.109529495239258,29.292975762426405,29.060312370559238,29.23033640621345,123934000
2015-06-04,28.939504623413086,29.21243466979933,28.838834488110578,28.988721740865582,153800400
2015-06-05,28.780670166015625,29.013333549780093,28.71579491133615,28.97082754234685,142507200
2015-06-08,28.590513229370117,28.90594928095356,28.373511413479815,28.836595405014542,210699200
2015-06-09,28.505496978759766,28.65314831031358,28.102814787492374,28.344423419535225,224301600
2015-06-10,28.83211898803711,28.935025008085386,28.601693272575396,28.617353106947167,156349200
2015-06-11,28.767244338989258,29.122947072116407,28.74263578058238,28.899234146086,141563600
